"Capacitor";"Model";"Value, uF";"Mounting Quality";"Total Mounting Inductance, nH";"Estimated ESL, nH";"Actual Resonance Frequency, MHz";"Resonant Frequency for User-Specified ESL (w/o Mounting), MHz";"Comments"
"C130";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C130.1 to metal area"
"C131";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C131.1 to metal area"
"C132";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"poorly connected";"  0.14";"N/A";" 19.42";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C133";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C133.1 to metal area"
"C134";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C134.1 to metal area"
"C135";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C135.1 to metal area"
"C136";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C136.1 to metal area"
"C137";"C=0.47uF, ESL=Auto, ESR=25mOhms";"  0.47";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C137.1 to metal area"
"C138";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C138.1 to metal area"
"C139";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C139.1 to metal area"
"C140";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C140.1 to metal area"
"C141";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C141.1 to metal area"
"C142";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C142.1 to metal area"
"C143";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C143.1 to metal area"
"C144";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C144.1 to metal area"
"C145";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C145.1 to metal area"
"C146";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C146.1 to metal area"
"C147";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C147.1 to metal area"
"C148";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C148.1 to metal area"
"C149";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C149.1 to metal area"
"C150";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C150.1 to metal area"
"C151";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C151.1 to metal area"
"C152";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C152.1 to metal area"
"C153";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C153.1 to metal area"
"C154";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.94";"N/A";" 16.39";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C155";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C155.1 to metal area"
"C156";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C156.1 to metal area"
"C157";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C157.1 to metal area"
"C158";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C158.1 to metal area"
"C159";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C159.1 to metal area"
"C160";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C160.1 to metal area"
"C161";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C161.1 to metal area"
"C162";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.94";"N/A";" 16.39";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C163";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"rejected";"N/A";"N/A";"N/A";"N/A";"Cannot find connection of pin C163.1 to metal area"
"C164";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.14";"N/A";" 42.09";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C165";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.14";"N/A";" 42.09";"N/A";"Failed to create decoupling capacitor model; using simplified model"
"C166";"C=0.1uF, ESL=Auto, ESR=25mOhms";" 0.100";"poorly connected";"  0.14";"N/A";" 42.09";"N/A";"Failed to create decoupling capacitor model; using simplified model"
